3,7,8,B,8,5,3,B,3,7,8,B,7,3,8,B,5,4,4,B,7,5,7,B,7,4,6,B,6,8,3,B
3,7,7,4,3,8,7,3,4,3,2,7,7,3,8,4,6,2,3,4,3,6,8,8,8,4,1,3,3,4,4,7
1,8,3,2,8,7,7,3,8,1,4,6,4,8,3,5,7,7,8,4,4,4,7,3,3,2,4,4,3,5,3,4
4,8,8,6,8,2,4,6,4,7,3,4,1,2,7,4,8,7,3,8,7,1,2,3,3,8,8,7,7,7,7,2
7,4,5,4,4,4,7,1,C,8,8,3,3,6,4,7,1,3,8,7,8,3,4,8,C,8,7,3,8,8,4,1
8,7,8,B,7,4,3,B,3,7,8,B,1,7,3,B,6,7,3,B,7,3,3,B,7,3,2,B,7,3,8,B
4,7,4,4,8,1,7,2,4,5,2,6,4,4,7,2,7,8,7,3,7,8,4,4,8,8,4,3,4,3,5,8
1,5,4,8,4,8,3,7,7,4,7,8,4,7,3,8,8,3,4,8,8,7,1,4,4,4,8,7,6,4,8,7
6,7,8,2,7,8,4,3,3,4,1,4,7,6,4,3,7,8,1,2,3,8,6,7,8,1,7,4,3,2,4,7
3,3,7,3,3,5,8,6,8,3,3,8,3,8,8,5,4,4,5,4,2,5,8,3,3,3,6,5,7,3,1,4
